sector,etf,company,company_name
Energy,ELE,XOM,Exxon Mobil Corp
Energy,ELE,CVX,Chevron Corp
Energy,ELE,COP,ConocoPhillips
Energy,ELE,EOG,EOG Resources Inc
Energy,ELE,SLB,Schlumberger Ltd
Energy,ELE,MPC,Marathon Petroleum Corp
Energy,ELE,PXD,Pioneer Natural Resources Co
Energy,ELE,PSX,Phillips 66
Energy,ELE,KMI,Kinder Morgan Inc Class P
Energy,ELE,WMB,Williams Companies Inc
Gold Miners,GDX,NEM,Newmont Corp
Gold Miners,GDX,ABX.TO,Barrick Gold Corp
Gold Miners,GDX,FNV.TO,Franco-Nevada Corp
Gold Miners,GDX,WPM.TO,Wheaton Precious Metals Corp
Gold Miners,GDX,NCM.AX,Newcrest Mining Ltd
Gold Miners,GDX,AEM.TO,Agnico Eagle Mines Ltd
Gold Miners,GDX,KL.TO,Kirkland Lake Gold Ltd
Gold Miners,GDX,NST.AX,Northern Star Resources Ltd
Gold Miners,GDX,K.TO,Kinross Gold Corp
Gold Miners,GDX,GFI.JO,Gold Fields Ltd ADR
Materials,XLE,LIN.L,Linde PLC
Materials,XLE,SHW,Sherwin-Williams Co
Materials,XLE,APD,Air Products & Chemicals Inc
Materials,XLE,FCX,Freeport-McMoRan Inc
Materials,XLE,ECL,Ecolab Inc
Materials,XLE,NEM,Newmont Corp
Materials,XLE,DD,DuPont de Nemours Inc
Materials,XLE,DOW,Dow Inc
Materials,XLE,PPG,PPG Industries Inc
Materials,XLE,IFF,International Flavors & Fragrances Inc
Industrials,DIA,UNH,UnitedHealth Group Inc
Industrials,DIA,GS,Goldman Sachs Group Inc
Industrials,DIA,HD,The Home Depot Inc
Industrials,DIA,MSFT,Microsoft Corp
Industrials,DIA,CRM,Salesforce.com Inc
Industrials,DIA,MCD,McDonald's Corp
Industrials,DIA,HON,Honeywell International Inc
Industrials,DIA,V,Visa Inc Class A
Industrials,DIA,AMGN,Amgen Inc
Industrials,DIA,BA,Boeing Co
Consumer Discretionary,XLY,AMZN,Amazon.com Inc
Consumer Discretionary,XLY,TSLA,Tesla Inc
Consumer Discretionary,XLY,HD,The Home Depot Inc
Consumer Discretionary,XLY,NKE,Nike Inc Class B
Consumer Discretionary,XLY,MCD,McDonald's Corp
Consumer Discretionary,XLY,LOW,Lowe's Companies Inc
Consumer Discretionary,XLY,SBUX,Starbucks Corp
Consumer Discretionary,XLY,TGT,Target Corp
Consumer Discretionary,XLY,BKNG,Booking Holdings Inc
Consumer Discretionary,XLY,TJX,TJX Companies Inc
Consumer Staples,XLP,PG,Procter & Gamble Co
Consumer Staples,XLP,KO,Coca-Cola Co
Consumer Staples,XLP,PEP,PepsiCo Inc
Consumer Staples,XLP,WMT,Walmart Inc
Consumer Staples,XLP,COST,Costco Wholesale Corp
Consumer Staples,XLP,PM,Philip Morris International Inc
Consumer Staples,XLP,MDLZ,Mondelez International Inc Class A
Consumer Staples,XLP,MO,Altria Group Inc
Consumer Staples,XLP,EL,The Estee Lauder Companies Inc Class A
Consumer Staples,XLP,CL,Colgate-Palmolive Co
Health Care,XLV,JNJ,Johnson & Johnson
Health Care,XLV,UNH,UnitedHealth Group Inc
Health Care,XLV,PFE,Pfizer Inc
Health Care,XLV,ABT,Abbott Laboratories
Health Care,XLV,ABBV,AbbVie Inc
Health Care,XLV,TMO,Thermo Fisher Scientific Inc
Health Care,XLV,MRK,Merck & Co Inc
Health Care,XLV,LLY,Eli Lilly and Co
Health Care,XLV,DHR,Danaher Corp
